a	aa
बहो	b aa hh oo
बहोत	b aa hh oo t
बहोड़	b aa hh oo D
बा	b AA
बांध	b AA q dh
बाइज	b AA ii j
बाइयों	b AA ii y oo q
बाइस	b AA ii s
बाकाय्दा	b AA k AA y d AA
बाकी	b AA k II
बाजार	b AA j AA r
बाड	b AA D
बाड़	b AA D
बात	b AA t
बाता	b AA t AA
बाते	b AA t ee
बाद	b AA d
बादल	b AA d aa l
बान	b AA n
बाय	b AA y
बायसाय	b AA y aa s AA y
बायसायकल	b AA y aa s AA y aa k aa l
बाया	b AA y AA
बार	b AA r
बारा	b AA r AA
बारि	b AA r ii
बारिश	b AA r ii sh
बारिस	b AA r ii s
बारी	b AA r II
बारीश	b AA r II sh
बारीस	b AA r II s
बारे	b AA r ee
बाल	b AA l
बाली	b AA l II
बाले	b AA l ee
बाश्किंग	b AA sh k ii q g
बास	b AA s
बास्कड	b AA s k aa D
बास्किंग	b AA s k ii q g
बास्किट	b AA s k ii T
बास्कीट	b AA s k II T
बास्के	b AA s k ee
बास्केड	b AA s k ee D
बाह	b AA hh
बाहर	b AA hh aa r
बाहाड	b AA hh AA D
बाहार	b AA hh AA r
बाहाल	b AA hh AA l
बाहूत	b AA hh UU t
बाहेर	b AA hh ee r
बाग़	b AA g
बाज़ार	b AA z AA r
बाड़	b AA D
बि	b ii
बिंगिंग	b ii q g ii q g
बिंट	b ii q T
बिक	b ii k
बिकज	b ii k aa j
बिका	b ii k AA
बिकाउज	b ii k AA uu j
बिकिंग	b ii k ii q g
बिकी	b ii k II
बिकुल	b ii k uu l
बिके	b ii k ee
बिकेन	b ii k ee n
बिकॉज	b ii k OO j
बिको	b ii k oo
बिकौ	b ii k OO
बिग	b ii g
बिगड़ती	b ii g aa D aa t II
बिगन	b ii g aa n
बिगनि	b ii g aa n ii
बिगनिंग	b ii g aa n ii q g
बिगवे	b ii g aa w ee
बिगिंग	b ii g ii q g
बिगिन	b ii g ii n
बिगी	b ii g II
बिगेन	b ii g ee n
बिगेम	b ii g ee m
बिच	b ii c
बिचारो	b ii c AA r oo
बिजय	b ii j aa y
बिट	b ii T
बिट्रे	b ii T r ee
बिड	b ii D
बिताक	b ii t AA k
बिथ	b ii th
बिनाइट	b ii n AA ii T
बिनाइड	b ii n AA ii D
बिनिंग	b ii n ii q g
बिनींग	b ii n II q g
बिप्की	b ii p k II
बिब	b ii b
बिम	b ii m
बिमड	b ii m aa D
बिमल	b ii m aa l
बिमला	b ii m aa l AA
बिमा	b ii m AA
बिमारी	b ii m AA r II
बिमाल	b ii m AA l
बिय	b ii y
बिया	b ii y AA
बिल	b ii l
बिलकुल	b ii l aa k uu l
बिलि	b ii l ii
बिलिवि	b ii l ii w ii
बिलॉगइड	b ii l OO g ii D
बिलोंगेड	b ii l oo q g ee D
बिलोंड	b ii l oo q D
बिल्कुत	b ii l k uu t
बिल्कुल	b ii l k uu l
बिल्तुल	b ii l t uu l
बिल्लिया	b ii l l ii y AA
बिस	b ii s
बिसकुट्स	b ii s aa k uu T s
बिसाईन्ट	b ii s AA II n T
बिसौन्स	b ii s OO n s
बिस्कम	b ii s k aa m
बिस्कीट	b ii s k II T
बिस्ट	b ii s T
बिस्तर	b ii s t aa r
बिहॅट	b ii hh ae T
बिहेव	b ii hh ee w
बिहेवियर	b ii hh ee w ii y aa r
बी	b II
बीकी	b II k II
बीकौम्स	b II k OO m s
बीच	b II c
बीचारे	b II c AA r ee
बीड़	b II D
बीड़ा	b II D AA
बीत	b II t
बीबी	b II b II
बीम	b II m
बीमर	b II m aa r
बीमला	b II m aa l AA
बीमा	b II m AA
बीमाड	b II m AA D
बीमार	b II m AA r
बीमारियों	b II m AA r ii y oo q
बीमारी	b II m AA r II
बीमाल	b II m AA l
बीमाड़	b II m AA D
बीरा	b II r AA
बीसींग	b II s II q g
बीहो	b II hh oo
बीड़ी	b II D II
बु	b uu
बुक	b uu k
बुके	b uu k ee
बुकेंट	b uu k ee q T
बुकेट	b uu k ee T
बुकेड	b uu k ee D
बुकेत	b uu k ee t
बुख	b uu kh
बुखार	b uu kh AA r
बुटर	b uu T aa r
बुद	b uu d
बुनने	b uu n aa n ee
बुने	b uu n ee
बुप्लीन	b uu p l II n
बुरा	b uu r AA
बुरे	b uu r ee
बुल	b uu l
बुलवाया	b uu l aa w AA y AA
बुला	b uu l AA
बुलाया	b uu l AA y AA
बुल्कुल	b uu l k uu l
बुल्ट	b uu l T
बुस	b uu s
बुस्कॅट	b uu s k ae T
बुस्केट	b uu s k ee T
बुस्केड	b uu s k ee D
बुस्टिंग	b uu s T ii q g
बू	b UU
बूक	b UU k
बूक्स	b UU k s
बूमरॅंग	b UU m aa r ae q g
बूढ़ा	b UU Dh AA
बॅ	b ae
बॅंडएड	b ae q D ee D
बॅके	b ae k ee
बॅकेट	b ae k ee T
बॅख	b ae kh
बॅट	b ae T
बॅटरी	b ae T aa r II
बॅडेगे	b ae D ee g ee
बॅथ	b ae th
बॅनक्रस	b ae n aa k r aa s
बॅनक्लेट	b ae n aa k l ee T
बॅन्डेजड	b ae n D ee j aa D
बॅस	b ae s
बॅसिंग	b ae s ii q g
बे	b ee
बेंगेड	b ee q g ee D
बेंसन	b ee q s aa n
बेइंग	b ee ii q g
बेक	b ee k
बेकेट	b ee k ee T
बेचौन्ग	b ee c OO n g
बेटा	b ee T AA
बेटासा	b ee T AA s AA
बेटिंग	b ee T ii q g
बेटी	b ee T II
बेट्रे	b ee T r ee
बेड	b ee D
बेडलि	b ee D aa l ii
बेनिग	b ee n ii g
बेनिफिट	b ee n ii ph ii T
बेल	b ee l
बेलहाल	b ee l aa hh AA l
बेला	b ee l AA
बेली	b ee l II
बेल्ला	b ee l l AA
बेश	b ee sh
बेस्ट	b ee s T
बेस्टिंग	b ee s T ii q g
बेह	b ee hh
बेहत	b ee hh aa t
बेहरा	b ee hh aa r AA
बेहल	b ee hh aa l
बेहला	b ee hh aa l AA
बेहलाल	b ee hh aa l AA l
बेहलाव	b ee hh aa l AA w
बेहली	b ee hh aa l II
बेहा	b ee hh AA
बेहाद	b ee hh AA d
बेहाल	b ee hh AA l
बेहाला	b ee hh AA l AA
बेही	b ee hh II
बेहे	b ee hh ee
बेहेन	b ee hh ee n
बेहेने	b ee hh ee n ee
बेहेरा	b ee hh ee r AA
बेहेल	b ee hh ee l
बेहेला	b ee hh ee l AA
बेहेले	b ee hh ee l ee
बेह्याल	b ee hh y AA l
बैटरी	b ee T aa r II
बैठ	b ee Th
बैठकर	b ee Th aa k aa r
बैठे	b ee Th ee
बैठेंगे	b ee Th ee q g ee
बैठो	b ee Th oo
बैन्टेन्ज	b ee n T ee n j
बैर	b ee r
बैल	b ee l
बॉ	b OO
बॉटस	b OO T aa s
बॉड	b OO D
बॉडर्ड	b OO D aa r D
बॉडी	b OO D II
बॉत	b OO t
बॉद	b OO d
बॉन	b OO n
बॉनडिंग	b OO n aa D ii q g
बॉम्ब	b OO m b
बॉहार	b OO hh AA r
बो	b oo
बोकल	b oo k aa l
बोक्स	b oo k s
बोजी	b oo j II
बोट	b oo T
बोड	b oo D
बोत	b oo t
बोथ्रट	b oo th r aa T
बोन्सी	b oo n s II
बोय	b oo y
बोर	b oo r
बोल	b oo l
बोलता	b oo l aa t AA
बोलताय	b oo l aa t AA y
बोलती	b oo l aa t II
बोलते	b oo l aa t ee
बोलथा	b oo l aa th AA
बोलना	b oo l aa n AA
बोलने	b oo l aa n ee
बोला	b oo l AA
बोली	b oo l II
बोलू	b oo l UU
बोलूँगी	b oo l UU q g II
बोले	b oo l ee
बोलेंगे	b oo l ee q g ee
बोलेगा	b oo l ee g AA
बोलेन	b oo l ee n
बोलो	b oo l oo
बोस	b oo s
बोहा	b oo hh AA
बोहाल	b oo hh AA l
बोहो	b oo hh oo
बोहोत	b oo hh oo t
बोहोल	b oo hh oo l
बोहोले	b oo hh oo l ee
बोहोस	b oo hh oo s
बौजी	b OO j II
बौन्सी	b OO n s II
ब्याहयाल	b y AA hh aa y AA l
ब्याहाल	b y AA hh AA l
ब्याहे	b y AA hh ee
ब्यु	b y uu
ब्युल	b y uu l
ब्यूटिफुल	b y UU T ii ph uu l
ब्यूटीफुल	b y UU T II ph uu l
ब्र	b r
ब्रट	b r aa T
ब्रदर्स	b r aa d aa r s
ब्रबन	b r aa b aa n
ब्रम	b r aa m
ब्रमण	b r aa m aa N
ब्रमणा	b r aa m aa N AA
ब्रमय	b r aa m aa y
ब्रह्मड	b r aa hh m aa D
ब्रह्मण	b r aa hh m aa N
ब्राइट	b r AA ii T
ब्राइडर	b r AA ii D aa r
ब्राइन	b r AA ii n
ब्राइस	b r AA ii s
ब्राउ	b r AA uu
ब्राउट	b r AA uu T
ब्राऊट	b r AA UU T
ब्राम	b r AA m
ब्राम्हिन	b r AA m hh ii n
ब्राह्मण	b r AA hh m aa N
ब्राह्माण	b r AA hh m AA N
ब्रिक	b r ii k
ब्रिग	b r ii g
ब्रिगिंग	b r ii g ii q g
ब्रिट	b r ii T
ब्रिटी	b r ii T II
ब्रिलाइंट	b r ii l AA ii q T
ब्री	b r II
ब्रुन्ग	b r uu n g
ब्रॅ	b r ae
ब्रॅचिंग	b r ae c ii q g
ब्रॅजिंग	b r ae j ii q g
ब्रॅन्गिंग	b r ae n g ii q g
ब्रॅन्गिग	b r ae n g ii g
ब्रे	b r ee
ब्रेंगिंग	b r ee q g ii q g
ब्रेकर	b r ee k aa r
ब्रेगिंग	b r ee g ii q g
ब्रेड	b r ee D
ब्रेनचीस	b r ee n aa c II s
ब्रेनेड	b r ee n ee D
ब्रेय	b r ee y
ब्रॉ	b r OO
ब्रॉट	b r OO T
ब्रॉर	b r OO r
ब्रोइंग	b r oo ii q g
ब्रोट	b r oo T
ब्रोथ	b r oo th
ब्लस्टिंग	b l aa s T ii q g
ब्लाइंड्ली	b l AA ii q D l II
ब्लाउन्ट	b l AA uu n T
ब्लिट	b l ii T
ब्लू	b l UU
ब्लॅक्ट	b l ae k T
ब्ले	b l ee
ब्लेसिंग	b l ee s ii q g
ब्लेसिंगज़	b l ee s ii q g aa j
ब्लॉ	b l OO
ब्लॉकिट	b l OO k ii T
ब्लॉस्टिंग	b l OO s T ii q g
ब्लॉस्टेट	b l OO s T ee T
बग़ी	b aa g II
बग़ीचा	b aa g II c AA
बग़ीचे	b aa g II c ee
बग़ीचें	b aa g II c ee q
बज़ार	b aa z AA r
बड़	b aa D
बड़ा	b aa D AA
बड़ी	b aa D II
बड़े	b aa D ee
बढ़िया	b aa Dh ii y AA
भ	bh
भइयो	bh ii y oo
भइयों	bh ii y oo q
भउ	bh uu
भकंग	bh aa k aa q g
भडा	bh aa D AA
भनाई	bh aa n AA II
भमंड	bh aa m aa q D
भमण	bh aa m aa N
भमळ	bh aa m aa l
भमसड	bh aa m aa s aa D
भय	bh aa y
भययो	bh aa y aa y oo
भया	bh aa y AA
भय्यायों	bh aa y y AA y oo q
भर	bh aa r
भरम	bh aa r aa m
भरमण	bh aa r aa m aa N
भरमन	bh aa r aa m aa n
भरमड़	bh aa r aa m aa D
भरा	bh aa r AA
भरेगा	bh aa r ee g AA
भलाई	bh aa l AA II
भलो	bh aa l oo
भव	bh aa w
भस्क	bh aa s k
भा	bh AA
भाइ	bh AA ii
भाइयाम	bh AA ii y AA m
भाइये	bh AA ii y ee
भाइयों	bh AA ii y oo q
भाइयोंम	bh AA ii y oo q m
भाई	bh AA II
भाईयों	bh AA II y oo q
भाकरी	bh AA k aa r II
भागकर	bh AA g aa k aa r
भागा	bh AA g AA
भाग्य	bh AA g y
भाज	bh AA j
भाटीयों	bh AA T II y oo q
भाड़	bh AA D
भाडी	bh AA D II
भाडे	bh AA D ee
भात	bh AA t
भादल	bh AA d aa l
भामान	bh AA m AA n
भाय	bh AA y
भाया	bh AA y AA
भार	bh AA r
भारी	bh AA r II
भाल	bh AA l
भालू	bh AA l UU
भाव	bh AA w
भावना	bh AA w aa n AA
भाषण	bh AA sh aa N
भासा	bh AA s AA
भाड़	bh AA D
भिडा	bh ii D AA
भी	bh II
भीं	bh II q
भीड़	bh II D
भीडा	bh II D AA
भीडी	bh II D II
भीद	bh II d
भीम	bh II m
भीमा	bh II m AA
भीर	bh II r
भील	bh II l
भु	bh uu
भुक	bh uu k
भुकी	bh uu k II
भुक्स	bh uu k s
भुखी	bh uu kh II
भुस	bh uu s
भू	bh UU
भूक	bh UU k
भूकी	bh UU k II
भूके	bh UU k ee
भूख	bh UU kh
भूखके	bh UU kh aa k ee
भूखा	bh UU kh AA
भूखी	bh UU kh II
भूखे	bh UU kh ee
भूखेस	bh UU kh ee s
भूखेसे	bh UU kh ee s ee
भूग	bh UU g
भूत	bh UU t
भूमिका	bh UU m ii k AA
भूलता	bh UU l aa t AA
भूलना	bh UU l aa n AA
भूस	bh UU s
भूहालेने	bh UU hh AA l ee n ee
भॅन्ड	bh ae n D
भे	bh ee
भेंड	bh ee q D
भेज	bh ee j
भेजते	bh ee j aa t ee
भेजने	bh ee j aa n ee
भेजा	bh ee j AA
भेजी	bh ee j II
भेजे	bh ee j ee
भेजेंगे	bh ee j ee q g ee
भेट	bh ee T
भेडिया	bh ee D ii y AA
भेडियो	bh ee D ii y oo
भेया	bh ee y AA
भेहाल	bh ee hh AA l
भै	bh ee
भैया	bh ee y AA
भैयायों	bh ee y AA y oo q
भैयो	bh ee y oo
भैयों	bh ee y oo q
भैर	bh ee r
भैरीयो	bh ee r II y oo
भैहलया	bh ee hh aa l aa y AA
भो	bh oo
भोजन	bh oo j aa n
भ्याड	bh y AA D
भ्र	bh r
भ्रक	bh r aa k
भ्रम	bh r aa m
भ्रमं	bh r aa m aa q
भ्रमः	bh r aa m aa H
भ्रमड	bh r aa m aa D
भ्रमण	bh r aa m aa N
भ्रमणा	bh r aa m aa N AA
भ्रमत	bh r aa m aa t
भ्रमद	bh r aa m aa d
भ्रमन	bh r aa m aa n
भ्रमन्न	bh r aa m aa n n
भ्रमम	bh r aa m aa m
भ्रमर	bh r aa m aa r
भ्रमळ	bh r aa m aa l
भ्रमा	bh r aa m AA
भ्रमांड	bh r aa m AA q D
भ्रमाण	bh r aa m AA N
भ्रमाय	bh r aa m AA y
भ्रमार	bh r aa m AA r
भ्रमि	bh r aa m ii
भ्रमीन	bh r aa m II n
भ्रम्ण	bh r aa m N
भ्रम्मड	bh r aa m m aa D
भ्रम्हाड	bh r aa m hh AA D
भ्रम्हाण	bh r aa m hh AA N
भ्रमड़	bh r aa m aa D
भ्रव	bh r aa w
भ्रह्मड	bh r aa hh m aa D
भ्रह्मण	bh r aa hh m aa N
भ्रह्माड	bh r aa hh m AA D
भ्रा	bh r AA
भ्राम	bh r AA m
भ्रामड	bh r AA m aa D
भ्रामण	bh r AA m aa N
भ्राम्बड	bh r AA m b aa D
भ्रेमण	bh r ee m aa N
म	m
मं	m aa q
मंक	m aa q k
मंकी	m aa q k II
मंग	m aa q g
मंगकर	m aa q g aa k aa r
मंगलाकर	m aa q g aa l AA k aa r
मंगवाकर	m aa q g aa w AA k aa r
मंगा	m aa q g AA
मंगाकर	m aa q g AA k aa r
मंग्र	m aa q g r
मंचियों	m aa q c ii y oo q
मंट्रियों	m aa q T r ii y oo q
मंडे	m aa q D ee
मंत	m aa q t
मंत्र	m aa q t r
मंत्रि	m aa q t r ii
मंत्रियो	m aa q t r ii y oo
मंत्रियों	m aa q t r ii y oo q
मंत्रिस	m aa q t r ii s
मंत्रिसे	m aa q t r ii s ee
मंत्री	m aa q t r II
मंथ	m aa q th
मंद्रियों	m aa q d r ii y oo q
मंन	m aa q n
मउत	m uu t
मको	m aa k oo
मखिला	m aa kh ii l AA
मखी	m aa kh II
मग	m aa g
मगन	m aa g aa n
मगर	m aa g aa r
मग्र	m aa g r
मची	m aa c II
मछली	m aa ch aa l II
मछी	m aa ch II
मज	m aa j
मजा	m aa j AA
मजाक	m aa j AA k
मजे	m aa j ee
मट	m aa T
मटर	m aa T aa r
मण	m aa N
मत	m aa t
मतलब	m aa t aa l aa b
मता	m aa t AA
मत्र	m aa t r
मत्रियों	m aa t r ii y oo q
मत्रीयों	m aa t r II y oo q
मदद	m aa d aa d
मदे	m aa d ee
मध	m aa dh
मधर	m aa dh aa r
मधुबन	m aa dh uu b aa n
मन	m aa n
मनट्रीयो	m aa n aa T r II y oo
मना	m aa n AA
मनाने	m aa n AA n ee
मनी	m aa n II
मने	m aa n ee
मन्क	m aa n k
मन्द्रियो	m aa n d r ii y oo
मन्द्रियों	m aa n d r ii y oo q
मन्द्रियोंसे	m aa n d r ii y oo q s ee
मन्द्रीयो	m aa n d r II y oo
मम	m aa m
ममता	m aa m aa t AA
मम्मी	m aa m m II
मय	m aa y
मया	m aa y AA
मर	m aa r
मरती	m aa r aa t II
मरम	m aa r aa m
मर्ग	m aa r g
मर्सी	m aa r s II
मल	m aa l
मलायम	m aa l AA y aa m
मल्ज	m aa l j
मश	m aa sh
मश्	m aa sh
मश्ट	m aa sh T
मस	m aa s
मसीन	m aa s II n
मस्ती	m aa s t II
मह	m aa hh
महन	m aa hh aa n
महल	m aa hh aa l
महा	m aa hh AA
महात्म	m aa hh AA t m
महान	m aa hh AA n
महारग	m aa hh AA r aa g
महाराणी	m aa hh AA r AA N II
महाल	m aa hh AA l
महि	m aa hh ii
महिना	m aa hh ii n AA
महिल	m aa hh ii l
महिला	m aa hh ii l AA
महिलाये	m aa hh ii l AA y ee
महिलिया	m aa hh ii l ii y AA
महिली	m aa hh ii l II
महिलीयो	m aa hh ii l II y oo
महिल्या	m aa hh ii l y AA
मही	m aa hh II
महीना	m aa hh II n AA
महीने	m aa hh II n ee
महील	m aa hh II l
महीला	m aa hh II l AA
महेला	m aa hh ee l AA
मा	m AA
माँ	m AA q
माँत	m AA q t
माँता	m AA q t AA
माँमी	m AA q m II
मां	m AA q
मांग	m AA q g
मांगकर	m AA q g aa k aa r
मांगाकर	m AA q g AA k aa r
मांग्र	m AA q g r
मांड	m AA q D
माइंड	m AA ii q D
माउस	m AA uu s
माकडीण	m AA k aa D II N
माग	m AA g
मागकर	m AA g aa k aa r
मागर	m AA g aa r
मागरन	m AA g aa r aa n
माग्र	m AA g r
माजीयो	m AA j II y oo
माट	m AA T
माटा	m AA T AA
माट्	m AA T
माणूस	m AA N UU s
मात	m AA t
माता	m AA t AA
माती	m AA t II
मात्रियों	m AA t r ii y oo q
मान	m AA n
माना	m AA n AA
मानो	m AA n oo
माप	m AA p
माम	m AA m
मामने	m AA m aa n ee
मामा	m AA m AA
मामि	m AA m ii
मामी	m AA m II
माय	m AA y
माया	m AA y AA
मार	m AA r
मारक	m AA r aa k
मारकक	m AA r aa k aa k
मारकर	m AA r aa k aa r
मारग	m AA r aa g
मारा	m AA r AA
मार्केद	m AA r k ee d
मार्ग	m AA r g
मार्गी	m AA r g II
माल	m AA l
माला	m AA l AA
माली	m AA l II
मालीवों	m AA l II w oo q
माह	m AA hh
माहिला	m AA hh ii l AA
मि	m ii
मिउजिकल	m ii uu j ii k aa l
मिट	m ii T
मिटाने	m ii T AA n ee
मिटी	m ii T II
मिठा	m ii Th AA
मिठाई	m ii Th AA II
मिठी	m ii Th II
मिठे	m ii Th ee
मिती	m ii t II
मित्र	m ii t r
मित्रयो	m ii t r aa y oo
मित्रयों	m ii t r aa y oo q
मित्रयोक	m ii t r aa y oo k
मित्रियो	m ii t r ii y oo
मित्रियों	m ii t r ii y oo q
मित्री	m ii t r II
मित्रीयों	m ii t r II y oo q
मित्रो	m ii t r oo
मित्रों	m ii t r oo q
मित्रोयोंम	m ii t r oo y oo q m
मित्र्यायोन	m ii t r y AA y oo n
मिन	m ii n
मिनिट	m ii n ii T
मिनी	m ii n II
मिने	m ii n ee
मिमय	m ii m aa y
मिमा	m ii m AA
मिमी	m ii m II
मिरकल	m ii r aa k aa l
मिरकल्स	m ii r aa k aa l s
मिरल	m ii r aa l
मिरा	m ii r AA
मिल	m ii l
मिलकर	m ii l aa k aa r
मिलके	m ii l aa k ee
मिलता	m ii l aa t AA
मिलती	m ii l aa t II
मिलते	m ii l aa t ee
मिला	m ii l AA
मिलाकर	m ii l AA k aa r
मिलिटस	m ii l ii T aa s
मिली	m ii l II
मिले	m ii l ee
मिलेंगे	m ii l ee q g ee
मिलेगा	m ii l ee g AA
मिल्य	m ii l y
मिल्स	m ii l s
मिश्ट	m ii sh T
मिस	m ii s
मिसर	m ii s aa r
मिसूज	m ii s UU j
मिसेड	m ii s ee D
मिस्तर	m ii s t aa r
मी	m II
मीटा	m II T AA
मीठा	m II Th AA
मीठी	m II Th II
मीडे	m II D ee
मीत	m II t
मीता	m II t AA
मीत्रो	m II t r oo
मीन	m II n
मीना	m II n AA
मीनिंग	m II n ii q g
मीनी	m II n II
मीने	m II n ee
मीन्स	m II n s
मीभी	m II bh II
मीम	m II m
मीमा	m II m AA
मीमी	m II m II
मीमीने	m II m II n ee
मीमीया	m II m II y AA
मीमीयान	m II m II y AA n
मीमीस	m II m II s
मीरा	m II r AA
मील	m II l
मीवा	m II w AA
मु	m uu
मुँ	m uu q
मुँह	m uu q hh
मुक्षित्र	m uu k sh ii t r
मुख	m uu kh
मुज़िकल	m uu j ii k aa l
मुजिकल	m uu j ii k aa l
मुझसे	m uu jh aa s ee
मुझे	m uu jh ee
मुना	m uu n AA
मुफ	m uu ph
मुफ्त	m uu ph t
मुबारक	m uu b AA r aa k
मुर्गी	m uu r g II
मुल	m uu l
मुलयाम	m uu l aa y AA m
मुला	m uu l AA
मुलाय	m uu l AA y
मुलायक	m uu l AA y aa k
मुलायम	m uu l AA y aa m
मुलाया	m uu l AA y AA
मुलायालम	m uu l AA y AA l aa m
मुलिय	m uu l ii y
मुलेया	m uu l ee y AA
मुल्या	m uu l y AA
मुल्यायम	m uu l y AA y aa m
मुल्लायम	m uu l l AA y aa m
मुस	m uu s
मुसकुदान	m uu s aa k uu d AA n
मुसकुराना	m uu s aa k uu r AA n AA
मुसक्रान	m uu s aa k r AA n
मुसलाय	m uu s aa l AA y
मुसल्याइम	m uu s aa l y AA ii m
मुसान	m uu s AA n
मुस्क	m uu s k
मुस्का	m uu s k AA
मुस्कात	m uu s k AA t
मुस्कान	m uu s k AA n
मुस्काना	m uu s k AA n AA
मुस्काने	m uu s k AA n ee
मुस्कु	m uu s k uu
मुस्कुर	m uu s k uu r
मुस्कुरा	m uu s k uu r AA
मुस्कुराक	m uu s k uu r AA k
मुस्कुराण	m uu s k uu r AA N
मुस्कुरात	m uu s k uu r AA t
मुस्कुरान	m uu s k uu r AA n
मुस्कूरान	m uu s k UU r AA n
मुस्को	m uu s k oo
मुस्कोवान	m uu s k oo w AA n
मुस्तान	m uu s t AA n
मुह	m uu hh
मू	m UU
मूक	m UU k
मूजिकल	m UU j ii k aa l
मूना	m UU n AA
मूरसकान	m UU r aa s aa k AA n
मूल	m UU l
मूल्याम	m UU l y AA m
मूसकू	m UU s aa k UU
मॅ	m ae
मॅजि	m ae j ii
मॅजिकेन	m ae j ii k ee n
मॅठ	m ae Th
मॅडन्ड	m ae D aa n D
मॅनिफेस्ट	m ae n ii ph ee s T
मॅनिस	m ae n ii s
मॅनी	m ae n II
मॅनेजे	m ae n ee j ee
मॅम	m ae m
मे	m ee
में	m ee q
मेंत्रि	m ee q t r ii
मेंने	m ee q n ee
मेकद	m ee k aa d
मेघना	m ee gh aa n AA
मेज	m ee j
मेजॉरिटी	m ee j OO r ii T II
मेटर	m ee T aa r
मेटी	m ee T II
मेडिटेशन	m ee D ii T ee sh aa n
मेत	m ee t
मेतियो	m ee t ii y oo
मेत्रियों	m ee t r ii y oo q
मेन	m ee n
मेन्जेट	m ee n j ee T
मेन्ट	m ee n T
मेम	m ee m
मेमरी	m ee m aa r II
मेमि	m ee m ii
मेरा	m ee r AA
मेरी	m ee r II
मेरे	m ee r ee
मेरेको	m ee r ee k oo
मेरो	m ee r oo
मेर्ग	m ee r g
मेर्चन्ट	m ee r c aa n T
मेल	m ee l
मेला	m ee l AA
मेलिया	m ee l ii y AA
मेले	m ee l ee
मेलें	m ee l ee q
मेसेज	m ee s ee j
मेह	m ee hh
मेहन	m ee hh aa n
मेहनत	m ee hh aa n aa t
मेहमान	m ee hh aa m AA n
मेहल	m ee hh aa l
मेहली	m ee hh aa l II
मेहे	m ee hh ee
मेहेमत	m ee hh ee m aa t
मेहेल	m ee hh ee l
मेहेलिया	m ee hh ee l ii y AA
मै	m ee
मैं	m ee q
मैंने	m ee q n ee
मैईत	m ee II t
मैटर	m ee T aa r
मैदान	m ee d AA n
मैना	m ee n AA
मैने	m ee n ee
मैल	m ee l
मैहनत	m ee hh aa n aa t
मॉ	m OO
मॉउन	m OO uu n
मॉर्निंग	m OO r n ii q g
मो	m oo
मोंकी	m oo q k II
मोगरा	m oo g aa r AA
मोज	m oo j
मोट	m oo T
मोटा	m oo T AA
मोटी	m oo T II
मोती	m oo t II
मोदेर	m oo d ee r
मोन	m oo n
मोनरी	m oo n aa r II
मोनी	m oo n II
मोमती	m oo m aa t II
मोमेंट	m oo m ee q T
मोया	m oo y AA
मोर	m oo r
मोरएवर	m oo r ee w aa r
मोरे	m oo r ee
मोरेव	m oo r ee w
मोस	m oo s
मौ	m OO
मौका	m OO k AA
मौज	m OO j
मौट	m OO T
मौत	m OO t
मौता	m OO t AA
मौरत	m OO r aa t
म्न्ग	m n g
म्बो	m b oo
म्म्मी	m m m II
म्या	m y AA
म्याचीट	m y AA c II T
म्याजीयन	m y AA j II y aa n
म्याम	m y AA m
म्यूज़िकल	m y UU j ii k aa l
म्यूजिकल	m y UU j ii k aa l
म्यूजिकाल	m y UU j ii k AA l
म्रग	m r aa g
म्रिग	m r ii g
मज़	m aa z
मज़े	m aa z ee
मड़कें	m aa D aa k ee q
य	y
यंग्स	y aa q g s
यंत्र	y aa q t r
यड	y aa D
यत	y aa t
यत्रा	y aa t r AA
यथ	y aa th
यनं	y aa n aa q
यन्तम	y aa n t aa m
यम	y aa m
यमना	y aa m aa n AA
यमुना	y aa m uu n AA
यर	y aa r
यलसो	y aa l aa s oo
यह	y aa hh
यहम	y aa hh aa m
यहा	y aa hh AA
यहाँ	y aa hh AA q
यहां	y aa hh AA q
यही	y aa hh II
या	y AA
याँ	y AA q
याट्रा	y AA T r AA
यात	y AA t
याता	y AA t AA
यात्र	y AA t r
यात्रा	y AA t r AA
यात्री	y AA t r II
यात्रो	y AA t r oo
यात्र्या	y AA t r y AA
याद	y AA d
यादे	y AA d ee
यानी	y AA n II
यार	y AA r
यासरा	y AA s aa r AA
याहात्रा	y AA hh AA t r AA
युजी	y uu j II
युजेड	y uu j ee D
युट	y uu T
युड	y uu D
युप	y uu p
युवा	y uu w AA
युसेड	y uu s ee D
यूज	y UU j
ये	y ee
येत	y ee t
येय	y ee y
येयूना	y ee y UU n AA
येवन	y ee w aa n
येस्टरडे	y ee s T aa r aa D ee
येहे	y ee hh ee
यॉ	y OO
यो	y oo
यों	y oo q
योज	y oo j
योजन	y oo j aa n
योजना	y oo j aa n AA
योत	y oo t
योथ	y oo th
योथ्स	y oo th s
योर	y oo r
योल्ट	y oo l T
योव	y oo w
यौच	y OO c
र	r
रंग	r aa q g
रंगों	r aa q g oo q
रइ	r ii
रइन	r ii n
रई	r II
रउट	r uu T
रकने	r aa k aa n ee
रक्षीत	r aa k sh II t
रख	r aa kh
रखती	r aa kh aa t II
रखते	r aa kh aa t ee
रखना	r aa kh aa n AA
रखा	r aa kh AA
रखेंगे	r aa kh ee q g ee
रग	r aa g
रघुना	r aa gh uu n AA
रजा	r aa j AA
रड	r aa D
रडू	r aa D UU
रत	r aa t
रथ	r aa th
रन्ट	r aa n T
रप	r aa p
रपे	r aa p ee
रपेड	r aa p ee D
रफ	r aa ph
रफ्यूजि	r aa ph y UU j ii
